EHST0100,LM:2023/05/03 11:14:20:000,FD:55300,LD:01764,RC:12000,MC:12000,TO:00834,             
00963,2023/04/27 21:47:33:000,03,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,	                         
00964,2023/04/27 21:47:33:000,04,   0.00001,   0.00001,   0.00001,   0.00004,   0.00005,   0.00009,  -1.00000,  -1.00000,  -1.00000,	                         
00965,2023/04/27 21:47:33:000,05,   0.00000,   0.00001,   0.00002,   0.00000,   0.00000,   0.00002,  -1.00000,  -1.00000,  -1.00000,	                         
00966,2023/04/27 21:47:33:000,06,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,	                         
00967,2023/04/27 22:47:33:000,01,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,	                         
00968,2023/04/27 22:47:33:000,02,   0.00032,   0.00036,   0.00033,   0.00037,   0.00025,   0.00066,  -1.00000,  -1.00000,  -1.00000,	                         
00969,2023/04/27 22:47:33:000,03,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,	                         
00970,2023/04/27 22:47:33:000,04,   0.00001,   0.00001,   0.00001,   0.00004,   0.00005,   0.00010,  -1.00000,  -1.00000,  -1.00000,	                         
00971,2023/04/27 22:47:33:000,05,   0.00000,   0.00001,   0.00002,   0.00000,   0.00000,   0.00002,  -1.00000,  -1.00000,  -1.00000,	                         
00972,2023/04/27 22:47:33:000,06,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,	                         
00973,2023/04/27 23:47:33:000,01,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,	                         
00974,2023/04/27 23:47:33:000,02,   0.00032,   0.00036,   0.00033,   0.00037,   0.00026,   0.00067,  -1.00000,  -1.00000,  -1.00000,	                         
00975,2023/04/27 23:47:33:000,03,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,	                         
00976,2023/04/27 23:47:33:000,04,   0.00001,   0.00001,   0.00001,   0.00004,   0.00005,   0.00010,  -1.00000,  -1.00000,  -1.00000,	                         
00977,2023/04/27 23:47:33:000,05,   0.00000,   0.00001,   0.00002,   0.00000,   0.00000,   0.00002,  -1.00000,  -1.00000,  -1.00000,	                         
00978,2023/04/27 23:47:33:000,06,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,	                         
00979,2023/04/28 00:47:34:000,01,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,	                         
00980,2023/04/28 00:47:34:000,02,   0.00032,   0.00036,   0.00033,   0.00037,   0.00026,   0.00067,  -1.00000,  -1.00000,  -1.00000,	                         
00981,2023/04/28 00:47:34:000,03,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,	                         
00982,2023/04/28 00:47:34:000,04,   0.00001,   0.00001,   0.00001,   0.00004,   0.00005,   0.00010,  -1.00000,  -1.00000,  -1.00000,	                         
00983,2023/04/28 00:47:34:000,05,   0.00000,   0.00001,   0.00002,   0.00000,   0.00000,   0.00002,  -1.00000,  -1.00000,  -1.00000,	                         
00984,2023/04/28 00:47:34:000,06,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,  -1.00000,	                         
