EHST0100,LM:2023/05/03 11:14:20:000,FD:16915,LD:21914,RC:05000,MC:05000,TO:01914,             
20081,2023/02/07 07:07:13:000,  35.35144,	                                                                                                                    
20082,2023/02/07 08:07:13:000,  35.35151,	                                                                                                                    
20083,2023/02/07 09:07:13:000,  35.35157,	                                                                                                                    
20084,2023/02/07 10:07:14:000,  35.35164,	                                                                                                                    
20085,2023/02/07 11:07:14:000,  35.35170,	                                                                                                                    
20086,2023/02/07 12:07:14:000,  35.35177,	                                                                                                                    
20087,2023/02/07 13:07:15:000,  35.35183,	                                                                                                                    
20088,2023/02/07 14:07:15:000,  35.35190,	                                                                                                                    
20089,2023/02/07 15:07:15:000,  35.35197,	                                                                                                                    
20090,2023/02/07 16:07:16:000,  35.35203,	                                                                                                                    
20091,2023/02/07 17:07:16:000,  35.35210,	                                                                                                                    
20092,2023/02/07 18:07:16:000,  35.35216,	                                                                                                                    
20093,2023/02/07 19:07:17:000,  35.35223,	                                                                                                                    
20094,2023/02/07 20:07:17:000,  35.35229,	                                                                                                                    
20095,2023/02/07 21:07:17:000,  35.35236,	                                                                                                                    
20096,2023/02/07 22:07:18:000,  35.35242,	                                                                                                                    
20097,2023/02/07 23:07:18:000,  35.35249,	                                                                                                                    
20098,2023/02/08 00:07:18:000,  35.35255,	                                                                                                                    
20099,2023/02/08 01:07:18:000,  35.35262,	                                                                                                                    
20100,2023/02/08 02:07:19:000,  35.35268,	                                                                                                                    
20101,2023/02/08 03:07:19:000,  35.35275,	                                                                                                                    
20102,2023/02/08 04:07:20:000,  35.35282,	                                                                                                                    
20103,2023/02/08 05:07:20:000,  35.35288,	                                                                                                                    
20104,2023/02/08 06:07:20:000,  35.35295,	                                                                                                                    
20105,2023/02/08 07:07:21:000,  35.35301,	                                                                                                                    
20106,2023/02/08 08:07:21:000,  35.35308,	                                                                                                                    
20107,2023/02/08 09:07:21:000,  35.35314,	                                                                                                                    
20108,2023/02/08 10:07:22:000,  35.35321,	                                                                                                                    
20109,2023/02/08 11:07:22:000,  35.35327,	                                                                                                                    
20110,2023/02/08 12:07:22:000,  35.35334,	                                                                                                                    
20111,2023/02/08 13:07:23:000,  35.35340,	                                                                                                                    
20112,2023/02/08 14:07:23:000,  35.35347,	                                                                                                                    
20113,2023/02/08 15:07:23:000,  35.35353,	                                                                                                                    
20114,2023/02/08 16:07:24:000,  35.35360,	                                                                                                                    
20115,2023/02/08 17:07:24:000,  35.35366,	                                                                                                                    
20116,2023/02/08 18:07:24:000,  35.35373,	                                                                                                                    
20117,2023/02/08 19:07:24:000,  35.35380,	                                                                                                                    
20118,2023/02/08 20:07:25:000,  35.35386,	                                                                                                                    
20119,2023/02/08 21:07:25:000,  35.35393,	                                                                                                                    
20120,2023/02/08 22:07:25:000,  35.35399,	                                                                                                                    
20121,2023/02/08 23:07:26:000,  35.35406,	                                                                                                                    
20122,2023/02/09 00:07:26:000,  35.35412,	                                                                                                                    
20123,2023/02/09 01:07:26:000,  35.35419,	                                                                                                                    
20124,2023/02/09 02:07:27:000,  35.35426,	                                                                                                                    
20125,2023/02/09 03:07:27:000,  35.35432,	                                                                                                                    
20126,2023/02/09 04:07:27:000,  35.35439,	                                                                                                                    
20127,2023/02/09 05:07:28:000,  35.35445,	                                                                                                                    
20128,2023/02/09 06:07:28:000,  35.35452,	                                                                                                                    
20129,2023/02/09 07:07:29:000,  35.35458,	                                                                                                                    
20130,2023/02/09 08:07:29:000,  35.35464,	                                                                                                                    
20131,2023/02/09 09:07:29:000,  35.35471,	                                                                                                                    
20132,2023/02/09 10:07:30:000,  35.35478,	                                                                                                                    
20133,2023/02/09 11:07:30:000,  35.35484,	                                                                                                                    
20134,2023/02/09 12:07:30:000,  35.35491,	                                                                                                                    
20135,2023/02/09 13:07:31:000,  35.35497,	                                                                                                                    
20136,2023/02/09 14:07:32:000,  35.35504,	                                                                                                                    
20137,2023/02/09 15:07:32:000,  35.35511,	                                                                                                                    
20138,2023/02/09 16:07:32:000,  35.35517,	                                                                                                                    
20139,2023/02/09 17:07:33:000,  35.35524,	                                                                                                                    
20140,2023/02/09 18:07:33:000,  35.35530,	                                                                                                                    
20141,2023/02/09 19:07:33:000,  35.35537,	                                                                                                                    
20142,2023/02/09 20:07:34:000,  35.35543,	                                                                                                                    
20143,2023/02/09 21:07:34:000,  35.35550,	                                                                                                                    
20144,2023/02/09 22:07:34:000,  35.35556,	                                                                                                                    
20145,2023/02/09 23:07:35:000,  35.35563,	                                                                                                                    
20146,2023/02/10 00:07:35:000,  35.35569,	                                                                                                                    
20147,2023/02/10 01:07:35:000,  35.35576,	                                                                                                                    
20148,2023/02/10 02:07:36:000,  35.35582,	                                                                                                                    
20149,2023/02/10 03:07:36:000,  35.35589,	                                                                                                                    
20150,2023/02/10 04:07:37:000,  35.35596,	                                                                                                                    
20151,2023/02/10 05:07:37:000,  35.35602,	                                                                                                                    
20152,2023/02/10 06:07:37:000,  35.35608,	                                                                                                                    
20153,2023/02/10 07:07:38:000,  35.35615,	                                                                                                                    
20154,2023/02/10 08:07:38:000,  35.35621,	                                                                                                                    
20155,2023/02/10 09:07:55:000,  35.35631,	                                                                                                                    
20156,2023/02/10 10:08:33:000,  35.35639,	                                                                                                                    
20157,2023/02/10 11:08:34:000,  35.35646,	                                                                                                                    
